taxonId,taxon
cirsium_arvense,Cirsium arvense
cirsium_dissectum,Cirsium dissectum
cirsium_palustre,Cirsium palustre
cirsium_vulgare,Cirsium vulgare
cistaceae,Cistaceae
cladium_mariscus,Cladium mariscus
claytonia_perfoliata,Claytonia perfoliata
clematis,Clematis
clematis_vitalba,Clematis vitalba
climacium_dendroides,Climacium dendroides
clinopodium,Clinopodium
clinopodium_acinos,Clinopodium acinos
clinopodium_ascendens,Clinopodium ascendens
clinopodium_vulgare,Clinopodium vulgare
cochlearia,Cochlearia
cochlearia_anglica,Cochlearia anglica
cochlearia_officinalis,Cochlearia officinalis
coeloglossum_viride,Coeloglossum viride
conium_maculatum,Conium maculatum
conocephalum_conicum,Conocephalum conicum
conopodium_majus,Conopodium majus
convallaria_majalis,Convallaria majalis
convolvulus_arvensis,Convolvulus arvensis
conyza_canadensis,Conyza canadensis
cornus_sanguinea,Cornus sanguinea
corylus_avellana,Corylus avellana
cotoneaster,Cotoneaster
crataegus,Crataegus
crataegus_laevigata,Crataegus laevigata
crataegus_monogyna,Crataegus monogyna
cratoneuron_filicinum,Cratoneuron filicinum
crepis,Crepis
crepis_biennis,Crepis biennis
crepis_capillaris,Crepis capillaris
crepis_paludosa,Crepis paludosa
crepis_tectorum,Crepis tectorum
crepis_vesicaria,Crepis vesicaria
crocosmia_pottsii_x_aurea___c__x_crocosmiiflora,Crocosmia pottsii x aurea = C. x crocosmiiflora
cruciata_laevipes,Cruciata laevipes
ctenidium_molluscum,Ctenidium molluscum
cuscuta,Cuscuta
cuscuta_epithymum,Cuscuta epithymum
cynoglossum,Cynoglossum
cynoglossum_officinale,Cynoglossum officinale
cynosurus_cristatus,Cynosurus cristatus
cystopteris_fragilis,Cystopteris fragilis
cytisus_scoparius,Cytisus scoparius
dactylis_glomerata,Dactylis glomerata
dactylorhiza,Dactylorhiza
dactylorhiza_fuchsii,Dactylorhiza fuchsii
dactylorhiza_fuchsii_x_praetermissa___d__x_grandis,Dactylorhiza fuchsii x praetermissa = D. x grandis
dactylorhiza_incarnata,Dactylorhiza incarnata
